Site_ID,ERtot,depth,ERvolumetric
nwis_01184000,-12.235134,5.102918018,-2.571318011
nwis_01388000,-0.968625893,0.713696293,-3.117170096
nwis_01400500,-4.117837879,1.091778412,-4.688095404
nwis_01408500,-3.93410181,0.74080774,-5.743160567
nwis_01463500,-5.899806864,3.286526018,-1.888441511
nwis_01480617,-2.846469828,0.491452303,-6.605329437
nwis_01480870,-4.573605536,0.615096674,-8.437051176
nwis_01481000,-3.556979879,0.939884185,-4.474507764
nwis_01481500,-0.916322315,0.994544234,-1.472067999
nwis_01484525,-1.575562209,0.554859818,-1.780786039
nwis_01493112,-3.088510567,0.256323759,-12.83836245
nwis_01567000,-10.25208169,1.981862496,-6.462369594
nwis_01570500,-13.81268969,4.889979112,-2.933357152
nwis_01608500,-2.5463448,1.51340398,-2.402839645
nwis_01611500,-3.470111829,1.122502953,-4.344496785
nwis_01632900,-2.824977761,0.581035477,-5.369318616
nwis_01645704,-1.824088037,0.214144651,-9.805282605
nwis_01645762,-1.244705636,0.145444199,-9.675936629
nwis_01646000,-2.209825056,0.467769595,-5.73302024
nwis_01646305,-1.618158477,0.125763908,-14.01117398
nwis_01646500,-4.144654501,3.77893326,-1.240851369
nwis_01648010,-1.922644601,0.525135573,-4.293274265
nwis_01649190,-1.28489957,0.260880041,-6.093714905
nwis_01649500,-3.437473998,0.486042637,-8.891737934
nwis_01650800,-1.488757198,0.208340652,-8.499406022
nwis_0165389205,-1.304722867,0.155950641,-9.26059906
nwis_01654000,-2.165920071,0.309627023,-8.695425066
nwis_01654500,-2.010761551,0.158079719,-15.6158454
nwis_01658000,-3.033136405,0.495583398,-8.16099557
nwis_0166818623,-1.924584293,0.236039266,-12.1967392
nwis_01673000,-2.41809535,1.276228857,-2.488789384
nwis_02035000,-6.093922632,3.040578591,-2.181969587
nwis_02101726,-7.37206121,0.374453481,-35.27078238
nwis_02135000,-7.462353068,2.474876376,-3.428108584
nwis_02148315,-7.012965861,2.430692293,-3.086212947
nwis_02156500,-7.513581949,2.18309868,-4.082042771
nwis_02160105,-7.072757962,1.226780208,-7.287986107
nwis_02160700,-4.767276817,1.095513259,-5.54533841
nwis_02168504,-10.61774842,1.866736736,-6.746161025
nwis_02169000,-4.683573814,1.958699587,-2.473549124
nwis_02203655,-3.350271066,0.325095653,-14.56392041
nwis_02203700,-2.999334945,0.209346327,-16.19254902
nwis_02203863,-2.679370826,0.215999655,-15.06190139
nwis_02203900,-5.808298968,0.622863111,-11.77319009
nwis_02203950,-2.044731218,0.237974452,-10.51003934
nwis_02203960,-3.511714377,0.400541856,-10.8813803
nwis_02204037,-2.387282556,0.291669361,-10.19731713
nwis_02207160,-4.191999295,0.344079536,-14.45402655
nwis_02208450,-2.597426282,0.787919582,-4.862415908
nwis_02208493,-2.602999595,0.252939811,-12.34272926
nwis_02217643,-2.524771771,0.166981347,-17.59952887
nwis_02234000,-6.854750768,2.219458944,-3.59875408
nwis_02234500,-7.083210801,2.774079563,-2.696620841
nwis_02235500,-7.914876805,4.036431095,-1.965064905
nwis_02236000,-9.143829522,2.892561517,-3.461923163
nwis_02264000,-15.41211031,0.694298125,-77.63196435
nwis_02264100,-6.927945193,0.471026705,-18.47669233
nwis_02266200,-10.30347102,0.384105551,-34.67974736
nwis_02266300,-10.05935266,0.66287041,-21.81925631
nwis_02336300,-3.719926861,0.457318271,-9.643205653
nwis_02336313,-2.471529978,0.115065241,-29.23647358
nwis_02336340,-2.38638572,0.297070919,-9.567818373
nwis_02336360,-2.785834082,0.326918705,-10.23559055
nwis_02336410,-2.234025832,0.396762825,-6.898836765
nwis_02336526,-2.140261706,0.24224495,-10.10098571
nwis_02336728,-2.831654013,0.327090044,-10.23979658
nwis_02337170,-4.441857687,2.138790929,-2.355028091
nwis_02344630,-1.39591489,0.483123463,-5.589672083
nwis_02397530,-7.228272544,2.771729673,-2.75208192
nwis_03034000,-2.837147524,0.59465789,-5.604698359
nwis_03061000,-2.608547386,0.980244185,-3.348857824
nwis_03067510,-1.028477483,0.43478512,-3.042658503
nwis_03183500,-2.207549885,1.295226986,-2.947375502
nwis_03219500,-6.531991597,0.935803252,-10.51951137
nwis_03228300,-4.46957726,0.363366253,-19.06890422
nwis_03292470,-2.613300862,0.41604087,-7.366534397
nwis_03292474,-3.858481176,0.25223643,-37.90286681
nwis_03292475,-5.719504107,0.313831604,-36.37474191
nwis_03292480,-2.722366493,0.213181614,-15.95664216
nwis_03293000,-3.135646824,0.270418884,-14.31400905
nwis_03293500,-3.529083994,0.336996359,-14.25210442
nwis_03293530,-2.644733347,0.163366142,-23.2715353
nwis_03298000,-2.659892272,0.584311416,-4.847620893
nwis_03298135,-2.328661242,0.16191588,-18.61303861
nwis_03298150,-5.485925621,0.258060688,-27.18521733
nwis_03298250,-5.000121135,0.276463607,-20.6152292
nwis_03298300,-3.695875534,0.157302452,-38.75619027
nwis_03301900,-4.6489041,0.157983169,-41.14654538
nwis_03302000,-1.208772573,0.440084988,-4.440112972
nwis_03302030,-3.455097171,0.411524708,-20.20513942
nwis_03302050,-2.865009158,0.144977444,-32.09567095
nwis_03321500,-8.980198481,3.03257879,-4.431715689
nwis_03346500,-6.391247081,1.737407088,-5.3585467
nwis_03353200,-3.050662428,0.587050698,-7.151010736
nwis_03353420,-2.531745905,0.162875068,-38.74909686
nwis_03374100,-5.261570742,3.462026778,-2.034017827
nwis_03408500,-1.083734608,0.827651321,-6.026680295
nwis_03409500,-1.779197048,0.718355695,-7.612176919
nwis_03538830,-2.716441103,0.557087631,-8.702433919
nwis_03539778,-0.541200902,0.599413155,-5.898607852
nwis_04027000,-2.266914808,1.427568579,-1.556509772
nwis_04040000,-4.38881579,1.586052099,-2.971315956
nwis_04059500,-4.047064224,1.105298157,-4.093548799
nwis_04067500,-13.41474448,3.34281375,-4.345885578
nwis_04087050,-2.922929661,0.228844279,-14.89092286
nwis_04101500,-2.914517017,3.231336204,-1.085478798
nwis_04108660,-6.763880254,2.932647376,-2.388309091
nwis_04119400,-7.509049998,3.787167515,-2.025573798
nwis_04121944,-6.084312865,1.250908169,-5.194655883
nwis_04121970,-8.802416222,2.846065224,-3.202770176
nwis_04124000,-3.099129449,1.907032171,-1.607351731
nwis_04124200,-7.663148979,2.027436282,-3.771318849
nwis_04125460,-6.741292085,1.143727068,-5.964793656
nwis_04125550,-10.08764315,2.594395206,-3.928779882
nwis_04136000,-4.96401999,1.988374055,-2.572668716
nwis_04136500,-6.001856356,2.168286567,-2.792193598
nwis_04136900,-10.02025064,2.342191783,-4.358300061
nwis_04137005,-7.896969368,2.413371895,-3.333039623
nwis_04137500,-11.48908249,2.340990233,-5.127492919
nwis_04142000,-3.788372158,1.240123062,-3.257965038
nwis_041482663,-3.7732542,0.265089274,-16.91552515
nwis_04166500,-5.872059046,0.898783128,-8.463603547
nwis_04176500,-11.50736094,1.640169013,-10.24560999
nwis_04195500,-4.400950767,1.162511825,-5.690553912
nwis_04200500,-2.725987861,1.083938096,-7.621429546
nwis_04208000,-3.762919641,1.568496826,-2.82547105
nwis_04213500,-0.499085675,1.192685829,-1.452383964
nwis_04249000,-9.442103672,3.689834383,-3.21437922
nwis_05054000,-5.886667098,3.047909489,-2.144431039
nwis_05057000,-6.053166121,2.92900437,-2.068697256
nwis_05406469,-3.749156821,0.218039106,-17.91566608
nwis_05406479,-6.032767922,0.331812084,-18.49049712
nwis_05406500,-6.256933177,0.462349331,-13.68932707
nwis_05420500,-7.190735422,5.547084996,-1.288143882
nwis_05435943,-5.709397693,0.274033396,-21.90074118
nwis_05435950,-5.200810939,0.481364183,-11.13793533
nwis_05515500,-2.451764317,1.030496574,-2.53073293
nwis_05579630,-3.836846932,0.225760429,-24.79457187
nwis_05599490,-4.944100127,1.610158997,-3.33492335
nwis_06818000,-6.180205844,4.620220857,-1.348853154
nwis_06893350,-1.43812334,0.159721679,-10.7463465
nwis_06893620,-1.295050083,0.080168027,-18.89281798
nwis_06893820,-1.167869239,0.26938711,-5.335998409
nwis_06893890,-1.863608109,0.184643067,-19.8051552
nwis_06893970,-0.814395485,0.094527832,-9.835565153
nwis_06894000,-0.617520022,0.348446055,-2.042165691
nwis_07048600,-3.499025719,0.664608332,-8.06388479
nwis_07061270,-0.701293024,0.21872164,-4.767248331
nwis_07061290,-3.186843351,0.292602657,-15.56276008
nwis_07075250,-0.635631531,0.193978081,-6.976138207
nwis_07075270,-0.432935877,0.262919147,-9.004181229
nwis_07109500,-14.97863548,2.150254033,-7.571936009
nwis_07143672,-2.773082484,0.585947127,-6.338101785
nwis_07144100,-4.352660692,0.776148792,-6.880054082
nwis_07164500,-9.651209802,4.064293755,-2.780309354
nwis_07177500,-1.564989287,0.789197992,-2.491129857
nwis_07178200,-1.295950684,0.828564461,-1.763967332
nwis_071912213,-4.707822064,0.489684953,-9.998441957
nwis_07191222,-3.358841816,0.211027279,-20.09797059
nwis_07239450,-12.65798925,1.678822444,-9.070372267
nwis_07241550,-8.975890963,2.527240052,-3.922690153
nwis_07263296,-2.393549992,0.301992501,-63.42558721
nwis_07332620,-1.203140468,0.374726922,-7.921997522
nwis_07332622,-1.224803552,0.378380399,-6.599515127
nwis_07374000,-7.581630815,21.33765521,-0.358646628
nwis_07381600,-6.658290977,13.16448609,-0.521853024
nwis_08049500,-4.875788295,1.400272887,-4.394226139
nwis_08052700,-0.776780383,0.179522137,-10.82798581
nwis_08052745,-5.075590541,0.41071146,-15.42448558
nwis_08057410,-2.726188572,2.496421092,-1.508070825
nwis_08062500,-1.798752871,1.697926033,-0.884045965
nwis_08065350,-5.54921704,1.735057579,-3.415649819
nwis_08068000,-3.441438239,0.771460047,-6.958663239
nwis_08068500,-3.478125383,0.523969578,-9.436453276
nwis_08070200,-1.830448968,0.432537304,-5.422913418
nwis_08171290,-3.481905708,0.596607211,-6.388363087
nwis_08180700,-6.529926741,0.653035701,-10.79664309
nwis_08181500,-4.188885103,0.802154653,-5.808962208
nwis_08181800,-2.832640418,0.947713744,-3.385958196
nwis_08188060,-3.275982261,1.10846557,-3.369542572
nwis_08211200,-3.839005836,1.398950486,-2.888190936
nwis_08375300,-3.107302116,0.722552963,-4.963946799
nwis_08412500,-9.924853494,1.358428309,-7.703882795
nwis_08437710,-30.22857004,2.587352649,-16.56329786
nwis_08446500,-25.12780343,2.896022601,-10.26001144
nwis_08447000,-10.46280993,3.936978717,-2.745446636
nwis_08447300,-10.47111509,2.593071204,-4.095893605
nwis_09041400,-1.599896533,0.404532068,-11.10853055
nwis_09406000,-0.334899766,0.563951388,-1.194249265
nwis_10129900,-5.463131723,0.148506395,-40.86714108
nwis_10133650,-2.828357417,0.200390937,-14.09682026
nwis_10133800,-3.230172325,0.239533573,-15.08953503
nwis_10133980,-0.552080852,0.276773844,-4.430019833
nwis_11044000,-5.334341546,0.602616703,-10.66920547
nwis_11128500,-9.970740046,0.392533579,-30.98028775
nwis_11273400,-10.63455827,1.690870999,-7.949713452
nwis_11447650,-4.930204533,3.048745544,-1.611036072
nwis_11462500,-2.03476303,0.535863682,-4.307328388
nwis_11463980,-2.327071639,0.463779248,-5.100234892
nwis_11467000,-1.393452566,0.714023433,-2.115340372
nwis_12100490,2.248933322,1.773581866,1.342174118
nwis_12102075,-4.175375698,0.486163508,-8.599990099
nwis_13173600,-16.25348139,7.288625951,-2.280763272
nwis_13213000,-12.59830494,2.188435539,-6.146679374
nwis_14206950,-1.932866785,0.330756601,-8.55946599
nwis_14211010,-2.166986347,1.45099068,-1.910195681
nwis_385446094430700,-1.08405584,0.109192993,-12.13695657
nwis_385608094380300,-0.873259735,0.219253577,-3.974891405
,,,
,,,
,,,
,,,
